uid,latitude,longitude,date,cyanobacteria_density
aabm,39.08031907,-86.43086667,2018-05-14,0.585
aabn,36.5597,-121.51,2016-08-31,5867.5
aacd,35.87508324,-78.87843428,2020-11-19,0.29
aaee,35.487,-79.06213296,2016-08-24,1.614
aaff,38.04947082,-99.82700111,2019-07-23,111.825
aafl,39.474744,-86.898353,2021-08-23,2017.313
aafp,35.64774247,-79.2717821,2017-11-15,1.594
aagm,35.90688526,-79.13296163,2020-06-10,3.873
aahy,35.72652194,-79.12545778,2014-08-12,6.1
aaia,35.98,-78.79168619,2018-06-27,16.943
aaie,35.86132514,-78.76832138,2013-11-06,22.822
aaig,35.89623283,-79.04770491,2015-08-24,199.93
aair,33.0426,-117.076,2014-11-01,2769.0
aajk,37.74668,-97.77936,2021-10-18,13.119
aajw,40.703968,-80.29305,2015-08-26,2.451086957
aalr,38.9725,-94.67293,2019-08-26,233.1
aalw,34.279,-118.905,2018-01-08,4437.5
aamg,37.9718,-121.374,2015-08-18,1720.2
aamp,40.43393,-105.0334,2017-07-28,67.2
aaoj,38.0201,-122.259,2015-07-07,4080.0
aaoy,35.79,-79.02639225,2018-06-13,3.485
aapj,33.8892,-117.562,2018-01-09,6099.0
aaqc,37.3906,-120.958,2013-07-09,1416.3425
aaqd,35.90753745,-79.13818143,2020-08-13,338.865
aaqf,39.820323,-79.921575,2013-08-17,0.08229927
aaql,38.691,-100.924,2018-08-13,289.8
aaqq,36.6519,-120.632,2017-03-09,250.5155
aarj,36.115,-78.90875883,2013-07-29,72.614
aarq,39.90293,-75.18015,2017-12-05,10.133
aauw,35.70355347,-79.16811922,2019-06-06,3.798
aauy,36.313,-79.11497779,2020-02-26,2.178
aava,40.82201,-77.46996,2018-04-11,1.267
aavi,34.41,-78.3,2020-05-18,0.871
aavk,41.292492,-80.45833,2016-07-20,64.8825
aaxb,35.72292896,-79.13213135,2018-08-27,45.747
aaxc,34.446,-119.876,2020-03-18,3117.5
aaxe,37.2486,-120.851,2019-01-17,6450.0
aays,39.12106,-95.41118,2018-08-27,68.04
abau,35.68223511,-79.20771577,2016-06-21,23.236
abbf,37.6003,-121.224,2015-01-13,3885.0
abbz,35.71542362,-79.14607171,2016-06-08,0.581
abcg,37.4583,-120.967,2016-03-08,240.746
abcx,38.0505,-121.418,2013-01-15,778.0685
abdc,36.9818,-120.221,2021-07-14,3259.5215
abdk,35.7589,-105.1445,2017-06-19,83.591
abdw,35.48,-76.82,2020-02-26,4.067
abei,35.976,-78.75614185,2016-04-13,9.694
aben,35.8881581,-78.98307882,2019-07-02,9.73
abeu,39.7533,-121.971,2019-05-22,5957.5
abhd,34.6721,-120.492,2014-02-28,5677.5
abin,35.85803313,-78.74197382,2014-07-15,2.178
abit,48.97325,-100.3713,2017-08-01,311.089
abjj,42.056766,-78.879216,2019-09-24,55.04933333
abjq,34.9454,-120.417,2017-09-26,3670.0
abjr,36.7962,-121.782,2016-01-19,3030.0
abjx,38.1156,-121.494,2013-08-20,5363.2205
abka,41.72506,-85.01198,2017-08-02,53.636
abkx,36.3708,-119.429,2016-06-22,1065.25
abmo,35.89527007,-79.03999949,2015-06-10,73.195
aboc,44.761667,-82.783333,2018-04-03,0.358241253
abqi,35.69543599,-79.18319656,2016-04-06,2.628
abqw,37.8717,-121.526,2016-05-17,1673.606
abrn,41.890646,-78.925275,2017-10-05,7.626284722
absk,35.433,-80.1,2016-06-21,279.893
absl,42.086392,-78.874325,2013-07-16,379.1468027
abso,35.65003134,-79.26753078,2016-07-19,48.409
absx,36.9128,-121.744,2014-12-03,4777.5
abua,44.736667,-86.721667,2016-08-05,6.062838201
abui,37.1366,-120.762,2020-05-12,5260.0
abvn,41.693325,-80.07708,2015-09-25,56.77361111
abvy,44.87109,-103.0033,2017-06-12,1628.97
abwl,44.0,-82.35,2017-03-31,0.155190677
abxl,38.1602,-121.206,2019-03-19,2474.705
abzb,36.313,-79.11482949,2020-02-26,492.645
abzk,39.21155,-97.00559,2017-08-28,93.24
abzw,35.86405812,-78.79019482,2015-04-22,0.327
acbt,39.3092,-121.595,2019-08-22,5845.0
accd,35.86688428,-78.81281395,2016-05-24,3.558
acck,35.69378588,-79.18626146,2016-12-13,13.863
acdj,37.3906,-120.958,2015-04-14,1572.6545
acex,37.0062,-120.6,2021-07-14,7915.0
acgm,36.13,-79.06766955,2020-06-24,15.394
acgx,35.6983636,-79.17775883,2014-07-22,2.075
acix,37.3978,-120.96,2020-08-11,6916.571
acje,39.6242,-122.197,2018-06-20,9135.0
ackq,35.976,-78.75042492,2015-11-16,16.597
ackx,47.62155,-89.463167,2017-08-25,2.783814767
aclb,38.48312168,-75.12969166,2020-11-10,10.0
acld,35.642526,-79.28147114,2020-07-15,48.797
aclj,44.868638,-93.524033,2013-09-23,4.013
acmt,37.2583,-120.475,2013-02-12,182.129
acoa,35.68433767,-79.2038105,2015-06-22,10.529
acoz,35.63158736,-79.30178847,2015-05-06,1.753
acpf,35.91362456,-79.18689955,2014-06-23,9.036
acpk,37.82493334,-99.91665915,2021-08-16,201.641
acqg,35.794,-79.01991641,2016-09-20,758.089
acqj,35.8594928,-78.75365623,2013-04-23,0.631
acqu,35.4265,-118.832,2020-07-21,4927.5
acta,41.005131,-81.021802,2016-08-02,1.274865923
actk,41.89424,-78.93875,2019-04-16,1.267
actm,38.72020003,-75.08008333,2017-08-21,53.92499924
actx,36.8739,-121.745,2020-04-29,5517.5
acuf,41.964856,-110.654119,2018-08-22,23228.43677
acwc,39.61525,-84.96614444,2020-08-25,3414.943
acwk,35.90862444,-79.14688109,2021-04-28,120.721
acwm,34.942,-120.557,2013-05-28,6900.0
acwx,37.1366,-120.762,2015-01-13,6592.5
acwy,47.62155,-89.463167,2018-05-13,0.248172423
acxn,37.2343,-121.87,2015-02-06,5972.5
acyg,35.79,-79.03232432,2020-03-11,0.854
acyi,44.878889,-93.490833,2013-06-18,0.255
acyk,35.61,-78.99699829,2021-05-18,48.167
acyl,35.72484521,-79.12857211,2018-08-06,7.932
aczv,35.64486809,-79.27712096,2019-07-02,34.564
aczx,35.62476,-78.71115215,2016-06-22,141.355
adau,44.14,-87.233333,2016-08-05,13.58431788
addj,41.726667,-83.15,2018-04-07,18.35869681
adef,35.742,-79.2289065,2016-05-24,13.555
adfl,35.86219473,-78.77528111,2014-05-19,0.654
adgs,35.3207,-120.806,2014-02-27,7152.5
adhj,35.69077842,-79.19184749,2019-02-19,1.328
adjx,41.0491,-121.762,2021-08-23,2702.5
admd,46.993333,-85.1645,2016-08-22,9.911813333
admk,45.48802,-96.44255,2017-08-21,303.4
admo,35.69149702,-79.19051278,2018-08-09,1.54
adow,35.66727765,-79.23549762,2016-12-13,0.484
adqc,35.67007219,-79.23030706,2015-08-06,1.67
adra,41.299298,-80.758329,2018-07-05,0.153401361
adsv,35.88523877,-78.95971401,2018-02-21,19.461
adtv,35.79,-79.02184434,2017-03-21,250.082
adtx,35.89309611,-79.02260016,2021-10-12,38.727
aduy,35.8674433,-78.81728806,2016-07-19,90.041
advr,47.85615,-88.041917,2013-04-15,0.434866119
adwf,35.70610848,-79.16337357,2016-06-08,1.867
adwg,40.72010333,-85.1058325,2021-05-24,3.335
adwl,35.72521782,-79.12788004,2013-08-26,0.821
adxk,41.33056393,-85.38360833,2020-06-08,36.556
adxl,37.3169,-120.742,2017-04-11,3747.9965
adxo,41.841242,-78.994719,2020-09-02,5.300663072
adzg,35.69841683,-79.17765997,2014-07-22,13.278
aeaj,35.65,-78.68778733,2021-08-11,53.089
aeap,35.794,-79.01032624,2014-08-05,7.261
aebg,35.63754905,-79.29071528,2015-07-23,73.662
aecj,36.7962,-121.782,2015-08-26,2502.5
aeco,38.2996,-121.383,2019-03-19,5862.5
aecy,35.659932,-79.24914138,2020-09-24,3.42
